id,name,location,district,description,cover,furl,surl,turl
1,Taj Mahal,"Agra, Uttar Pradesh",Agra,17th-century white marble mausoleum built by Mughal emperor Shah Jahan.,,,,
2,Agra Fort,"Agra, Uttar Pradesh",Agra,Massive Mughal fort and UNESCO World Heritage site commanding the city of Agra.,,,,
3,Fatehpur Sikri,"Fatehpur, Uttar Pradesh",Fatehpur,A deserted Mughal capital founded by Akbar with palaces and mosques.,,,,
4,Red Fort,"Old Delhi, Delhi",Central Delhi,17th-century Mughal fort and historic seat of imperial power.,,,,
5,Qutub Minar,"Mehrauli, Delhi",South Delhi,"Tallest brick minaret in India, surrounded by ancient ruins.",,,,
6,Humayun's Tomb,"Nizamuddin, Delhi",South East Delhi,Precursor to the Taj Mahal; notable Mughal garden tomb.,,,,
7,India Gate,"New Delhi, Delhi",New Delhi,War memorial arch honoring Indian soldiers of WWI.,,,,
8,Lotus Temple,"Kalkaji, New Delhi",South Delhi,Bahá'í House of Worship famed for its flowerlike architecture.,,,,
9,Akshardham Temple (Delhi),"New Delhi, Delhi",East Delhi,Modern Hindu temple complex with exhibitions and gardens.,,,,
10,Jama Masjid,"Old Delhi, Delhi",Central Delhi,One of the largest mosques in India built by Shah Jahan.,,,,
11,Purana Qila,"Old Delhi, Delhi",Central Delhi,Ancient fortress with archaeological remains and a lake.,,,,
12,Safdarjung's Tomb,"Lodi Gardens area, Delhi",South Delhi,Late Mughal tomb with a landscaped garden.,,,,
13,Rashtrapati Bhavan,"President's Estate, New Delhi",New Delhi,The official residence of the President of India with grand architecture.,,,,
14,Amber Fort,"Amer, Rajasthan",Jaipur,"Hilltop fort with palaces, courtyards and mirrorwork near Jaipur.",,,,
15,Hawa Mahal,"Jaipur, Rajasthan",Jaipur,Pink sandstone 'Palace of Winds' with a facade of lattice windows.,,,,
16,City Palace (Jaipur),"Jaipur, Rajasthan",Jaipur,"Royal complex of courtyards, gardens and museums.",,,,
17,Jantar Mantar (Jaipur),"Jaipur, Rajasthan",Jaipur,Astronomical observatory built by Sawai Jai Singh II.,,,,
18,Mehrangarh Fort,"Jodhpur, Rajasthan",Jodhpur,Massive hill fort overlooking Jodhpur with intricate palaces.,,,,
19,Umaid Bhawan Palace,"Jodhpur, Rajasthan",Jodhpur,Palatial residence of the former Jodhpur royal family.,,,,
20,Jaisalmer Fort,"Jaisalmer, Rajasthan",Jaisalmer,Living fort in the Thar Desert with yellow sandstone architecture.,,,,
21,Chittorgarh Fort,"Chittorgarh, Rajasthan",Chittorgarh,One of India's largest forts with heroic history and temples.,,,,
22,Kumbhalgarh Fort,"Rajsamand, Rajasthan",Rajsamand,Fort famed for its long defensive walls and hilltop fortifications.,,,,
23,Ranakpur Jain Temple,"Ranakpur, Rajasthan",Pali,Famous marble Jain temple complex with ornate pillars.,,,,
24,Stepwell (Rani ki Vav),"Patan, Gujarat",Patan,Elaborate stepped water reservoir renowned for its sculptures.,,,,
25,Somnath Temple,"Somnath, Gujarat",Gir Somnath,Ancient and revered Shiva temple on the western coast.,,,,
26,Dwarkadhish Temple,"Dwarka, Gujarat",Dwarka,Important Krishna temple and pilgrimage site at Dwarka.,,,,
27,Sabarmati Ashram,"Ahmedabad, Gujarat",Ahmedabad,Residence of Mahatma Gandhi and center of India's independence movement.,,,,
28,Adalaj Stepwell,"Adalaj, Gujarat",Gandhinagar,Ornately carved stepwell built in the 15th century.,,,,
29,Champaner-Pavagadh Archaeological Park,"Pavagadh, Gujarat",Panchmahal,"Historic fortified city and archaeological complex, UNESCO site.",,,,
30,Sidi Saiyyed Mosque,"Ahmedabad, Gujarat",Ahmedabad,Famed for its intricately carved stone lattice window.,,,,
31,Konark Sun Temple,"Konark, Odisha",Puri,"12th-century temple shaped like a colossal stone chariot, UNESCO site.",,,,
32,Jagannath Temple (Puri),"Puri, Odisha",Puri,Major Hindu temple and site of the annual Rath Yatra festival.,,,,
33,Lingaraja Temple,"Bhubaneswar, Odisha",Khordha,Ancient temple complex dedicated to Lord Shiva.,,,,
34,Bhubaneswar's Dhauli Shanti Stupa,"Dhauli, Odisha",Khordha,Site associated with Ashokan history and a white peace pagoda.,,,,
35,Sun Temple (Modhera),"Modhera, Gujarat",Mehsana,Historic sun temple known for its carved pavilion and stepwell.,,,,
36,Gir National Park (Girnar),"Junagadh, Gujarat",Junagadh,Historic hills and pilgrimage area near Gir forest region.,,,,
37,Junagadh Uparkot Fort,"Junagadh, Gujarat",Junagadh,Ancient fort with rock-cut structures and stepwells.,,,,
38,Bhimbetka Rock Shelters,"Raisen, Madhya Pradesh",Raisen,"Prehistoric rock paintings and cave shelters, UNESCO site.",,,,
39,Sanchi Stupa,"Sanchi, Madhya Pradesh",Raisen,"Buddhist stupas and archaeological complex, UNESCO-listed.",,,,
40,Khajuraho Group of Temples,"Khajuraho, Madhya Pradesh",Chhatarpur,"Medieval temples famous for intricate sculptures and erotic art, UNESCO site.",,,,
41,Gwalior Fort,"Gwalior, Madhya Pradesh",Gwalior,Historic fort overlooking the city with palaces and temples.,,,,
42,Bhojeshwar Temple (Bhojpur),"Bhojpur, Madhya Pradesh",Bhopal,Ruined Shiva temple noted for its massive lingam and architecture.,,,,
43,Orchha Fort Complex,"Orchha, Madhya Pradesh",Tikamgarh,"Group of palaces, temples and cenotaphs on the Betwa River.",,,,
44,Ajanta Caves,"Aurangabad, Maharashtra",Aurangabad,"Ancient Buddhist rock-cut cave monuments with paintings, UNESCO site.",,,,
