id,name,type,region,origin,mainIngredients,description,imageurl
1,Biryani,Non-Veg,South,Hyderabad,"Rice, Chicken, Spices",Aromatic layered rice dish with meat and spices.,
2,Masala Dosa,Veg,South,Karnataka,"Rice, Urad Dal, Potato",Crispy rice crepe stuffed with spiced potato filling.,
3,Rogan Josh,Non-Veg,North,Kashmir,"Mutton, Yogurt, Kashmiri Chilies",A slow-cooked Kashmiri mutton curry rich in spices.,
4,Chole Bhature,Veg,North,Punjab,"Chickpeas, Flour, Spices",Deep-fried bread served with spicy chickpea curry.,
5,Dal Makhani,Veg,North,Punjab,"Black Lentils, Kidney Beans, Butter",Creamy lentil curry cooked with butter and cream.,
6,Idli,Veg,South,Tamil Nadu,"Rice, Urad Dal",Steamed rice cakes usually served with chutney and sambar.,
7,Vada Pav,Veg,West,Maharashtra,"Potato, Bread, Spices",Mumbai’s famous street food – potato fritter in bread bun.,
8,Pav Bhaji,Veg,West,Maharashtra,"Mixed Vegetables, Butter, Pav",Spiced mashed vegetable curry served with buttered bread.,
9,Dhokla,Veg,West,Gujarat,"Gram Flour, Yogurt","Steamed fermented gram flour cake, soft and fluffy.",
10,Pani Puri,Veg,Pan-India,Maharashtra,"Semolina, Potato, Tamarind Water",Hollow puris filled with tangy and spicy water.,
11,Samosa,Veg,North,Uttar Pradesh,"Potato, Peas, Spices",Deep-fried pastry filled with spiced potato mixture.,
12,Pakora,Veg,North,Delhi,"Gram Flour, Vegetables",Crispy fritters made with gram flour and assorted veggies.,
13,Aloo Tikki,Veg,North,Delhi,"Potato, Spices, Chutney",Spiced potato patties often served with chutney.,
14,Rajma Chawal,Veg,North,Delhi,"Kidney Beans, Rice, Spices",Comfort food of red kidney beans curry with rice.,
15,Butter Chicken,Non-Veg,North,Punjab,"Chicken, Butter, Tomato, Cream",Creamy tomato-based chicken curry.,
16,Naan,Veg,North,Delhi,"Flour, Yeast, Yogurt",Soft leavened Indian bread baked in a tandoor.,
17,Kulcha,Veg,North,Punjab,"Flour, Yeast",Leavened bread often stuffed with spiced fillings.,
18,Paratha,Veg,North,Punjab,"Wheat Flour, Ghee, Stuffings",Layered flatbread sometimes stuffed with veggies.,
19,Poori,Veg,North,Uttar Pradesh,"Wheat Flour, Oil",Deep-fried puffed bread served with curry.,
20,Kachori,Veg,North,Rajasthan,"Flour, Spices, Lentils",Deep-fried bread stuffed with spiced lentil or onion mix.,
21,Dal Baati Churma,Veg,West,Rajasthan,"Wheat Flour, Lentils, Ghee",Baked wheat balls served with dal and sweet churma.,
22,Gatte ki Sabzi,Veg,West,Rajasthan,"Gram Flour, Yogurt, Spices",Gram flour dumplings cooked in yogurt curry.,
23,Laal Maas,Non-Veg,North,Rajasthan,"Mutton, Red Chilies, Spices",Fiery Rajasthani mutton curry.,
24,Ker Sangri,Veg,West,Rajasthan,"Ker Berries, Sangri Beans, Spices",Traditional desert beans and berries stir fry.,
25,Mirchi Vada,Veg,West,Rajasthan,"Green Chilies, Potato, Gram Flour",Stuffed chili fritters from Jodhpur.,
26,Thepla,Veg,West,Gujarat,"Wheat Flour, Fenugreek Leaves",Soft spiced flatbread made with fenugreek leaves.,
27,Handvo,Veg,West,Gujarat,"Rice, Lentils, Vegetables",Savory baked cake made from rice and lentils.,
28,Undhiyu,Veg,West,Gujarat,"Mixed Vegetables, Spices",Winter special mixed vegetable curry.,
29,Khichu,Veg,West,Gujarat,"Rice Flour, Green Chilies",Steamed spicy rice flour dough dish.,
30,Fafda Jalebi,Veg/Dessert,West,Gujarat,"Gram Flour, Sugar, Oil",Crunchy fafda with sweet jalebi combo.,
31,Appam,Veg,South,Kerala,"Rice, Coconut Milk",Soft hoppers made with rice batter and coconut milk.,
32,Puttu,Veg,South,Kerala,"Rice Flour, Coconut",Steamed rice flour and coconut cylinders.,
